"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"21","@exxonmobil @XOM_NatGas Not sure if you heard, but we aren't doing the gender politics bullshit anymore. The most p… https://t.co/Yr52WbSZvC",FALSE,0,"exxonmobil",2017-04-05 22:19:57,TRUE,"849747680804966400","849748471020224513","36665547","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DavidPhaup",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/827314101609066497/snbn3shJ_normal.jpg"
"22","RT @exxonmobil: .@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG business. ht…",FALSE,0,NA,2017-04-05 22:19:41,FALSE,NA,"849748403936411648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jescobedo2277",17,TRUE,FALSE,NA,NA,"Control Staton: Enclave, P.O.","en","http://pbs.twimg.com/profile_images/648904999125188608/ljsYq_sh_normal.jpg"
"23",".@XOM_NatGas held a unique event this week at #Gastech2017 celebrating women playing leading roles in the #LNG busi… https://t.co/j88S2oEZqM",FALSE,26,NA,2017-04-05 22:16:49,TRUE,NA,"849747680804966400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","exxonmobil",17,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/639153408075677696/lNHqTD2H_normal.jpg"
"24","RT @Dodds5Graham: Old friends from Indonesia!  Welcome Henry Marbun from Pertamina @gastech @XOM_NatGas https://t.co/pzta37v9bD",FALSE,0,NA,2017-04-05 22:10:04,FALSE,NA,"849745982032039936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mp_leung",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/699156912743403520/pdl0TBSv_normal.jpg"
"25","@julyxo_  I ain't know. Lol tell her I said I'll take her out to eat when I'm rich. I'm broke af rn <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"julyxo_",2017-04-05 22:04:24,FALSE,"849744389400408064","849744558799933441","2945308914","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alicia_xom",0,FALSE,FALSE,NA,NA,"Mexia, TX","en","http://pbs.twimg.com/profile_images/837145442286780417/PWm4Izzx_normal.jpg"
"26","@julyxo_  <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4> whateverrrr.",FALSE,0,"julyxo_",2017-04-05 22:03:22,FALSE,"849744195850043392","849744297226366976","2945308914","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alicia_xom",0,FALSE,FALSE,NA,NA,"Mexia, TX","en","http://pbs.twimg.com/profile_images/837145442286780417/PWm4Izzx_normal.jpg"
"27","@julyxo_  <ed><U+00A0><U+00BD><ed><U+00B9><U+0084> get out my face",FALSE,0,"julyxo_",2017-04-05 22:02:08,FALSE,"849743909269929989","849743986004832258","2945308914","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alicia_xom",0,FALSE,FALSE,NA,NA,"Mexia, TX","en","http://pbs.twimg.com/profile_images/837145442286780417/PWm4Izzx_normal.jpg"
"28","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:01:51,FALSE,NA,"849743914881892353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Savanna05379796",49,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000040074173/7ef38078ff90fc005c343e9d33b43a77_normal.jpeg"
"29","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:01:30,FALSE,NA,"849743827455836162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Landon_lg18",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"30","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:01:28,FALSE,NA,"849743817376899072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joshapsilver",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"31","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:01:08,FALSE,NA,"849743736766595073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JordonSeagrave",49,TRUE,FALSE,NA,NA,"Southampton ","en","http://pbs.twimg.com/profile_images/520502765555310593/GnV2y5Xk_normal.jpeg"
"32","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:00:55,FALSE,NA,"849743681640742912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","millershightim",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"33","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:00:52,FALSE,NA,"849743669552963585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MangoMadnes",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"34","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 22:00:52,FALSE,NA,"849743665614512129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamal_sultani",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"35","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:59:49,FALSE,NA,"849743403306934275",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shitty_nik",49,TRUE,FALSE,NA,NA,"h-dub","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"36","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:59:09,FALSE,NA,"849743237501796352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CohenJasoncohen",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"37","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:56:35,FALSE,NA,"849742591809773572",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ppeters17",49,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/453905574707871744/bLTITNNX_normal.jpeg"
"38","#ExxonMobil Exxon To Enter The Most Sought After Oil Play In The World. Read more: https://t.co/GBTxZPLJQT $XOM",FALSE,0,NA,2017-04-05 21:54:03,FALSE,NA,"849741951247110144",NA,"<a href=""https://www.owler.com"" rel=""nofollow"">    Gas    Utilities</a>","gas_utilities",0,FALSE,FALSE,NA,NA,"San Mateo, CA","en","http://pbs.twimg.com/profile_images/693138881089130496/uGnUQF_O_normal.jpg"
"39","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:52:31,FALSE,NA,"849741567090884609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TaySwift13Team",49,TRUE,FALSE,NA,NA,"Nashville","en","http://pbs.twimg.com/profile_images/2481872482/j18r86x1tju2a5g83idq_normal.jpeg"
"40","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:52:18,FALSE,NA,"849741513512951808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iainscott12",49,TRUE,FALSE,NA,NA,"","en-gb","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"41","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:49:24,FALSE,NA,"849740782315732992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mastertees",49,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"42","RT @androsForm: $XOM chart https://t.co/ZtpIBGhLwm via https://t.co/qe3sLV1upN",FALSE,0,NA,2017-04-05 21:32:59,FALSE,NA,"849736648833339399",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","missperfact215",49,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3457749654/af91cb0bd6f1f689454b91c88f46c37f_normal.jpeg"
"43","Qatar Petroleum, #ExxonMobil sign EandP sharing contract with Cyprus. Read more: https://t.co/6kThpYpoB9 $XOM",FALSE,0,NA,2017-04-05 21:16:22,FALSE,NA,"849732469897052160",NA,"<a href=""https://www.owler.com"" rel=""nofollow"">    Gas    Utilities</a>","gas_utilities",0,FALSE,FALSE,NA,NA,"San Mateo, CA","en","http://pbs.twimg.com/profile_images/693138881089130496/uGnUQF_O_normal.jpg"
"44","Go XOM! Great Dividend Stock! https://t.co/TKoxEa72PN",FALSE,0,NA,2017-04-05 20:51:31,FALSE,NA,"849726213228830722",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pjl001",0,FALSE,FALSE,NA,NA,"Massachusetts, USA","en","http://pbs.twimg.com/profile_images/378800000725782943/f5979465289a045af6797edbf1369356_normal.jpeg"
"45","zoutube.xom",FALSE,2,NA,2017-04-05 20:43:15,FALSE,NA,"849724134548414464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tr33tycon",0,FALSE,FALSE,NA,NA,"On Screen","sr","http://pbs.twimg.com/profile_images/739097298853072896/_905m-a1_normal.jpg"
"46","Exxon Mobil Corporation (XOM) price at close, April 05, 2017, is 82.53.",FALSE,0,NA,2017-04-05 20:23:26,FALSE,NA,"849719146669625344",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","eliselofgr",0,FALSE,FALSE,NA,NA,"Tulsa","en","http://pbs.twimg.com/profile_images/3011273205/39506550fd0fe78343557922a56952c5_normal.jpeg"
"47","Exxon Mobil Corporation (XOM) price at close, April 05, 2017, is 82.625.",FALSE,0,NA,2017-04-05 20:21:17,FALSE,NA,"849718606627786752",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","hannahbrin",0,FALSE,FALSE,NA,NA,"Vandemere","en","http://pbs.twimg.com/profile_images/3006434385/4fb6dfe089aa82f0ab924a7f9a03189f_normal.jpeg"
"48","Suncor Stock Upgraded: What You Need to Know https://t.co/z1yNAEBB08 $SU $BP $XOM https://t.co/j9lkcotqmp",FALSE,0,NA,2017-04-05 20:19:34,FALSE,NA,"849718174635499520",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","SFinanciers",0,FALSE,FALSE,NA,NA,"","ru","http://pbs.twimg.com/profile_images/812426902375976960/CHo97nEf_normal.jpg"
"49","SIGN: Tell state leaders: Don't do business with companies that build Trump's wall https://t.co/U7SwyD1Lsb #HereToStay via @CREDOMobile",FALSE,0,NA,2017-04-05 20:12:38,FALSE,NA,"849716428471234562",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JillVanVlack",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000554602325/b0c4cfa580c5b44f6b2b5ff1f540c4fa_normal.jpeg"
"50","$xom still can't hold &gt;$83",FALSE,0,NA,2017-04-05 20:06:32,FALSE,NA,"849714895591538689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crazycanuck15",0,FALSE,FALSE,NA,NA,"HTX","en","http://pbs.twimg.com/profile_images/786685038003941377/2kaxaoAn_normal.jpg"
"51","Exxon Mobil Co. $XOM Upgraded to Hold at Zacks Investment Research https://t.co/8InlmqAIIx",FALSE,0,NA,2017-04-05 19:59:31,FALSE,NA,"849713127025508356",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","ZolmaxNews",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2172961480/zolmax_big_normal.jpg"
"52","RT @ZachHurwitz: Rough day for $COP between yesterday's VWAP and the 5day VWAP.  Ping pong followed by a dump $CVX $XOM $HAL $SLB $CL_F htt…",FALSE,0,NA,2017-04-05 19:59:10,FALSE,NA,"849713039955906560",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","diggingplatinum",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/556454430032551936/lD-7VMlA_normal.jpeg"
"53","$xom @MarketWatch @CNBC @MadMoneyOnCNBC #oil #money sold 84.50 April calls today. Nice income short term trade. Sti… https://t.co/JdE0cIwkFr",FALSE,0,NA,2017-04-05 19:55:06,TRUE,NA,"849712018588401664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mattandbeyond44",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/821482283714641920/1uqEMc9u_normal.jpg"
"54","Rough day for $COP between yesterday's VWAP and the 5day VWAP.  Ping pong followed by a dump $CVX $XOM $HAL $SLB… https://t.co/dsD1ETh2tt",FALSE,3,NA,2017-04-05 19:51:58,TRUE,NA,"849711226926116869",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZachHurwitz",1,FALSE,FALSE,NA,NA,"Cincinnati, OH","en","http://pbs.twimg.com/profile_images/727955960401104901/Cad8Jw_H_normal.jpg"
"55","RT @EnergzdEconomy: $XOM &amp; Qatar Petro to look for oil together in Cyprus https://t.co/SLxyneskJJ",FALSE,0,NA,2017-04-05 19:45:09,FALSE,NA,"849709513057984512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","badawoodyousef",1,TRUE,FALSE,NA,NA,"<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0647> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0647> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0647>","en","http://pbs.twimg.com/profile_images/378800000541418515/f62a7af72ef34867efa49728a2879f31_normal.jpeg"
"56","#ExxonMobil Exxon, Qatar Petroleum Sign E&amp;P Deal To Drill Offshore Cyprus. Read more: https://t.co/F1q0cnYpUK $XOM",FALSE,0,NA,2017-04-05 19:29:30,FALSE,NA,"849705575420108801",NA,"<a href=""https://www.owler.com"" rel=""nofollow"">    Gas    Utilities</a>","gas_utilities",0,FALSE,FALSE,NA,NA,"San Mateo, CA","en","http://pbs.twimg.com/profile_images/693138881089130496/uGnUQF_O_normal.jpg"
"57","#ExxonMobil ExxonMobil and Qatar Petroleum sign exploratory drilling deal with Cyprus. Read more: https://t.co/LOxKCh831p $XOM",FALSE,0,NA,2017-04-05 19:28:53,FALSE,NA,"849705419970813952",NA,"<a href=""https://www.owler.com"" rel=""nofollow"">    Gas    Utilities</a>","gas_utilities",0,FALSE,FALSE,NA,NA,"San Mateo, CA","en","http://pbs.twimg.com/profile_images/693138881089130496/uGnUQF_O_normal.jpg"
"58","Qatar Petroleum, #ExxonMobil sign exploration and production sharing contract with Cyprus. Read more: https://t.co/cUD5n4spZZ $XOM",FALSE,0,NA,2017-04-05 19:28:16,FALSE,NA,"849705264475328512",NA,"<a href=""https://www.owler.com"" rel=""nofollow"">    Gas    Utilities</a>","gas_utilities",0,FALSE,FALSE,NA,NA,"San Mateo, CA","en","http://pbs.twimg.com/profile_images/693138881089130496/uGnUQF_O_normal.jpg"
"59","Inflation Can Be A Silent Killer For Retirement Portfolios https://t.co/r3LFLIlUFu $JNJ $PG $XOM",FALSE,1,NA,2017-04-05 19:19:50,FALSE,NA,"849703143004819456",NA,"<a href=""http://seekingalpha.com"" rel=""nofollow"">Seeking Alpha</a>","SEEKINGALPHA_FS",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/628450795533414401/xwE4BfP__normal.jpg"
"60","Inflation Can Be A Silent Killer For Retirement Portfolios https://t.co/nbTOZ5KRLn $JNJ $PG $XOM",FALSE,2,NA,2017-04-05 19:19:50,FALSE,NA,"849703140915945472",NA,"<a href=""http://seekingalpha.com"" rel=""nofollow"">Seeking Alpha</a>","SeekingAlpha",1,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/534299535552421888/eHacq8EQ_normal.png"
"61","RT @VolumePrintcess: The Stock Whisper Of The Day: $XOM $SPY $USO $XLF https://t.co/J1ZRfot4KO",FALSE,0,NA,2017-04-05 19:12:04,FALSE,NA,"849701187863674880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustSignals",3,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3320596298/554e4ae7f763c84bad69b0b1ce12f5fd_normal.jpeg"
"62","https://t.co/oj0x8FvYO4  TOP Stock ALERTS FROM JASON BOND! [Free Trial] Offer ends soon dont miss it! $fb $vlo $xom $cm $v $aapl",FALSE,0,NA,2017-04-05 18:34:48,FALSE,NA,"849691809076740096",NA,"<a href=""https://www.smqueue.com/"" rel=""nofollow"">smqueue</a>","MomentumSwings",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/613868568749277184/5WbU1QNH_normal.png"
